all catalogues http://ledas-www.star.le.ac.uk/arnie5/arnie5.php#BEPPOSAX
http://ledas-www.star.le.ac.uk/arnie5/arnie5.php?action=basic&catname=grbcat
+------------+---------------------+------------------------------+-----------+------------+----------+--------------------+--------------+---------+----+
|    NAME    |        TIME         |         OBSERVATORY          |  _RA2000  | _DECL2000  |COORD_FLAG|       REGION       |AFTERGLOW_FLAG|FLUX_FLAG| ID |
| GRB 790107B|   -0.000000000000000|             SIGNE 2m/PROGNOZ7|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        N| 120|
| GRB  790113|   -0.000000000000000|            SIGNE 2m/VENERA 12|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        N| 121|
| GRB  790113|   -0.000000000000000|             SIGNE 2m/PROGNOZ7|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        N| 121|
| GRB  790113|   -0.000000000000000|                           PVO|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        Y| 121|
| GRB  790113|   -0.000000000000000|                    KONUS-WIND|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        Y| 121|
| GRB  790116|   -0.000000000000000|                    KONUS-WIND|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        Y| 122|
| GRB 790119A|   -0.000000000000000|                    KONUS-WIND|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        Y| 123|
| GRB  790131|   -0.000000000000000|                    KONUS-WIND|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        Y| 125|
| GRB  790208|   -0.000000000000000|                    KONUS-WIND|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        Y| 126|
| GRB  790211|   -0.000000000000000|                       CATALOG|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        N| 127|
| GRB  790211|   -0.000000000000000|                    KONUS-WIND|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        Y| 127|
| GRB  790213|   -0.000000000000000|                    KONUS-WIND|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        Y| 128|
| GRB  790214|   -0.000000000000000|                    KONUS-WIND|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        Y| 129|
| GRB  790215|   -0.000000000000000|                    KONUS-WIND|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        Y| 130|
| GRB  790224|   -0.000000000000000|                    KONUS-WIND|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        Y| 131|
| GRB 790305A|   -0.000000000000000|            SIGNE 2m/VENERA 12|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        N| 132|
| GRB 790305B|   -0.000000000000000|            SIGNE 2m/VENERA 11|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        N| 133|
| GRB 790305B|   -0.000000000000000|            SIGNE 2m/VENERA 12|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        N| 133|
| GRB 790305B|   -0.000000000000000|             SIGNE 2m/PROGNOZ7|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        N| 133|
| GRB 790305B|   -0.000000000000000|                           PVO|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        Y| 133|
| GRB 790305B|   -0.000000000000000|                    KONUS-WIND|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        Y| 133|
| GRB  790306|   -0.000000000000000|                    KONUS-WIND|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        Y| 134|
| GRB  790307|   -0.000000000000000|            SIGNE 2m/VENERA 11|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        N| 135|
| GRB  790307|   -0.000000000000000|             SIGNE 2m/PROGNOZ7|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        N| 135|
| GRB  790307|   -0.000000000000000|                           PVO|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        Y| 135|
| GRB  790307|   -0.000000000000000|                    KONUS-WIND|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        Y| 135|
| GRB  790313|   -0.000000000000000|            SIGNE 2m/VENERA 12|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        N| 136|
| GRB  790313|   -0.000000000000000|             SIGNE 2m/PROGNOZ7|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        N| 136|
| GRB  790313|   -0.000000000000000|                           PVO|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        Y| 136|
| GRB  790313|   -0.000000000000000|                    KONUS-WIND|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        Y| 136|
| GRB  790314|   -0.000000000000000|                    KONUS-WIND|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        Y| 137|
| GRB  790318|   -0.000000000000000|                    KONUS-WIND|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        Y| 138|
| GRB  790323|   -0.000000000000000|                    KONUS-WIND|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        Y| 139|
| GRB  790324|   -0.000000000000000|                    KONUS-WIND|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        Y| 140|
| GRB 790325A|   -0.000000000000000|                    KONUS-WIND|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        Y| 141|
